name,style,score,brewer,abv,link,note,category
Saison,Belgian Saison,92.0,Allagash Brewing Company,8.0,https://www.beeradvocate.com/beer/profile/4/146790/,"multiple results, guessed best match",Other
Black,Belgian Strong Dark Ale,92.0,Allagash Brewing Company,9.2,https://www.beeradvocate.com/beer/profile/4/48279/,"multiple results, guessed best match",Ale
Petrus Aged Pale,Belgian Pale Ale,92.0,De Brabandere,7.3,https://www.beeradvocate.com/beer/profile/718/2184/,"multiple results, guessed best match",Ale
Momoko,Fruit and Field Beer,92.0,Oxbow Brewing Company,7.0,http://www.beeradvocate.com/search/?q=Momoko&qt=beer,,Other
Plink,American Wild Ale,92.0,Grimm Artisanal Ales,5.7,http://www.beeradvocate.com/search/?q=Plink&qt=beer,,Ale
Prismatic Lazer,American Imperial Stout,92.0,Burlington Beer Company,8.0,http://www.beeradvocate.com/search/?q=Prismatic+Lazer&qt=beer,,Stout
Nut Brown,English Brown Ale,92.0,Samuel Smith Old Brewery,5.0,https://www.beeradvocate.com/beer/profile/113/576/,"multiple results, guessed best match",Ale
Oro De Calabaza,French Bi\xc3\xa8re de Garde,92.0,Jolly Pumpkin Artisan Ales,8.0,https://www.beeradvocate.com/beer/profile/9897/18975/,"multiple results, guessed best match",Other
Eisbock,German Eisbock,92.0,Kulmbacher Brauerei,9.2,https://www.beeradvocate.com/beer/profile/412/11582/,"multiple results, guessed best match",Other
Rosetta,Flanders Oud Bruin,91.0,Brewery Ommegang,5.6,https://www.beeradvocate.com/beer/profile/42/188719/,"multiple results, guessed best match",Other
60 Minute Ipa,American IPA,91.0,Dogfish Head Craft Brewery,6.0,https://www.beeradvocate.com/beer/profile/64/6108/,"multiple results, guessed best match",IPA
Rainbow Sherbet,American Wild Ale,91.0,Prairie Artisan Ales,5.2,https://www.beeradvocate.com/beer/profile/30356/417624/,"multiple results, guessed best match",Ale
Estuary,American Imperial IPA,91.0,Fore River Brewing Company,8.4,https://www.beeradvocate.com/beer/profile/44641/276045/,"multiple results, guessed best match",IPA
Dirty Bastard,Scotch Ale / Wee Heavy,91.0,Founders Brewing Company,8.5,https://www.beeradvocate.com/beer/profile/1199/7463/,"multiple results, guessed best match",Ale
Stout Rullquin,American Wild Ale,91.0,Gueuzerie Tilquin,7.0,https://www.beeradvocate.com/beer/profile/25923/102760/,"multiple results, guessed best match",Ale
Brigadeiro,English Oatmeal Stout,91.0,Springdale Beer Company,6.8,https://www.beeradvocate.com/beer/profile/48475/281706/,"multiple results, guessed best match",Stout
